skate_park_name,address
Bill and Maxine Wilson Skate Park,"702 S 30th St, San Diego, CA 92113"
Carmel Valley Skate Park,"12600 El Camino Real, San Diego, CA 92130"
Central Avenue Skate Park,"3680 Central Ave, San Diego, CA 92105"
Cesar Solis Skate Park,"4895 Del Sol Blvd, San Diego, CA 92154"
Charles L. Lewis Memorial Skate Park,"6610 Potomac St, San Diego, CA 92139"
Chicano Park Skate Park,"Newtown Ave and National Ave, San Diego, CA 92113"
Del Sur Skate Park,"15816 Paseo Montenero, San Diego, CA 92127"
Linda Vista Skateboard Park,"7064 Levant St, San Diego, CA 92111"
Pacific Highlands Skate Park,"5977 Village Center Loop Road, San Diego, CA 92130"
Park de La Cruz Skate Park,"3901 Landis St, San Diego, CA 92105"
Rancho Penasquitos Skate Park,"10111 Carmel Mountain Road, San Diego, CA 92129"
Robb Field Skate Park,"2525 Bacon St, San Diego, CA 92107"
Southcrest Trails Skate Park,"3565 Birch St, San Diego, CA 92113"
